lat,lon
18.9106386714,-155.680767445
18.9106386714,-155.680767445
18.9106748341,-155.680824148
18.9106859731,-155.680906357
18.9106859731,-155.680906357
18.9106931299,-155.680979867
18.910804734,-155.680934156
18.9107502755,-155.680721732
18.9107019756,-155.680651884
18.9107354637,-155.680609243
18.9107354637,-155.680609243
18.9108168775,-155.68066235
18.9109504205,-155.681942442
18.9109504205,-155.681942442
18.9110975631,-155.681996599
18.9110261668,-155.682103396
18.9119346053,-155.682542206
18.9107391122,-155.677624702
18.9116386654,-155.677247386
18.9116386654,-155.677247386
18.9117409327,-155.677279237
18.9116982949,-155.677386495
18.9123084481,-155.673255737
18.9122813074,-155.67314305
18.9122813074,-155.67314305
18.9126049788,-155.673208642
18.9281802312,-155.682605982
18.9391722966,-155.687470946
18.9422675355,-155.694035673
18.9422675355,-155.694035673
18.9424103416,-155.694163388
18.9426490342,-155.69416342
18.9428386788,-155.69430329
18.9430011134,-155.693827007
18.9430011134,-155.693827007
18.9432926349,-155.693675857
18.9433406039,-155.693859061
18.9433406039,-155.693859061
18.9435626798,-155.694007054
18.9436758801,-155.693951743
18.9435419432,-155.693663093
18.9435687034,-155.693597236
18.9434858867,-155.693574816
18.9434858867,-155.693574816
18.9482798532,-155.70371852
18.9585418588,-155.712642678
18.9585418588,-155.712642678
18.958614462,-155.712682312
18.9585924313,-155.712758873
18.9665805146,-155.722954108
18.9658192475,-155.724337066
18.9658192475,-155.724337066
18.9659227199,-155.724410175
18.9658375658,-155.724513182
18.9666996658,-155.727027135
18.9665983463,-155.727162844
18.9665983463,-155.727162844
18.966795806,-155.727242979
18.9694317045,-155.731763848
18.9694317045,-155.731763848
18.9694362821,-155.731807878
18.9695199811,-155.731803748
18.9777743077,-155.760113255
18.9833149131,-155.762772096
18.9860137776,-155.76897112
18.986053694,-155.769098162
18.9861008922,-155.769087953
18.9861703919,-155.768984701
18.9861703919,-155.768984701
18.9860099132,-155.769229314
18.9860099132,-155.769229314
18.9860668223,-155.769268719
18.9862791559,-155.769750284
18.9862791559,-155.769750284
18.9863515783,-155.769800936
18.9864515298,-155.769758631
18.9865111971,-155.769962928
18.9864786075,-155.770044812
18.9864786075,-155.770044812
18.9865832085,-155.770041047
18.9890541813,-155.773977847
18.9890848779,-155.774022315
18.9890848779,-155.774022315
18.9890463185,-155.774153554
19.0024723342,-155.793799046
19.0057727724,-155.795629248
19.0057727724,-155.795629248
19.0058141214,-155.795733075
19.0059203745,-155.795599486
19.0103810973,-155.79746508
19.0133370034,-155.818749479
19.01340879,-155.818866722
19.0131890074,-155.818804999
19.0131890074,-155.818804999
19.0132527954,-155.819044584
19.0132527954,-155.819044584
19.0132130678,-155.8192373
19.0134344225,-155.81919591
19.0163546992,-155.827685422
19.0163175617,-155.827804437
19.0163175617,-155.827804437
19.0164511947,-155.827790195
19.0181324925,-155.833612995
19.0181129008,-155.833666916
19.0181129008,-155.833666916
19.018125155,-155.833785497
19.0183369525,-155.834045561
19.0183369525,-155.834045561
19.0183789337,-155.834061069
19.0183641075,-155.83411014
19.0175393033,-155.835766415
19.0175393033,-155.835766415
19.0175845518,-155.835805751
19.0175331654,-155.83586755
19.0175374759,-155.836009792
19.0175374759,-155.836009792
19.0174944352,-155.836063314
19.0176594114,-155.836011861
19.0189661488,-155.838588909
19.019050793,-155.83857555
