lat,lon
-13.8274090416803,-172.000000034419
-13.8274090416803,-172.000000034419
-13.8263090417189,-171.987000033975
-13.8138090417572,-171.976000033572
-13.8138090417801,-171.968000033301
-13.8004090418519,-171.945000032489
-13.8012090418709,-171.938000032253
-13.7963090418955,-171.93000003197
-13.7996090419373,-171.914000031434
-13.7938090419618,-171.906000031149
-13.7929090419993,-171.892000030671
-13.7979090420256,-171.881000030307
-13.7921090420389,-171.877000030159
-13.7921090420492,-171.873000030023
-13.7971090420544,-171.870000029931
-13.789609042104,-171.852000029303
-13.8037090421366,-171.836000028786
-13.806209042155,-171.828000028518
-13.8125090421566,-171.826000028462
-13.8188090421704,-171.819000028236
-13.8179090421829,-171.814000028063
-13.8254090421839,-171.81200002801
-13.8267090422141,-171.799000027568
-13.8262090422285,-171.793000027361
-13.82960904225,-171.783000027026
-13.8238090422599,-171.780000026912
-13.824609042271,-171.775000026743
-13.830009042291,-171.76500002641
-13.8412090422898,-171.763000026362
-13.8405090423259,-171.747000025813
-13.8488090423326,-171.742000025656
-13.8550090423556,-171.730000025255
-13.8613090423567,-171.728000025197
-13.8588090423708,-171.722000024987
-13.8612090424034,-171.706000024441
-13.8579090424401,-171.689000023851
-13.8730090424726,-171.669000023187
-13.8704090424858,-171.663000022977
-13.8729090425039,-171.653000022636
-13.882909042518,-171.643000022307
-13.882109042526,-171.639000022168
-13.8705090425526,-171.628000021771
-13.8867090425863,-171.605000021001
-13.8913090425875,-171.603000020939
-13.8817090426031,-171.597000020718
-13.8796090426006,-171.599000020784
-13.8896090426149,-171.588000020418
-13.8950090426104,-171.58900002046
-13.9025090426221,-171.58000002016
-13.9108090426162,-171.581000020206
-13.9104090426385,-171.568000019755
-13.9163090426406,-171.565000019659
-13.9159090426508,-171.559000019451
-13.9229090426406,-171.563000019599
-13.9413090426228,-171.568000019797
-13.9421090425882,-171.588000020492
-13.9396090425877,-171.589000020523
-13.9296090426667,-171.545000018984
-13.9396090426713,-171.539000018789
-13.948809042673,-171.535000018662
-13.9433090426883,-171.527000018377
-13.9513090427134,-171.508000017727
-13.9563090427109,-171.508000017733
-13.9554090427203,-171.502000017523
-13.96550904273,-171.492000017187
-13.976309042723,-171.493000017235
-13.974609042734,-171.486000016989
-13.9796090427458,-171.476000016646
-13.9738090427515,-171.47400001657
-13.9738090427585,-171.469000016396
-13.9788090427657,-171.462000016157
-13.9875090427653,-171.459000016062
-13.9917090427727,-171.452000015823
-13.9942090427687,-171.454000015895
-14.0000090427751,-171.447000015657
-14.0000090427751,-171.447000015657
-14.0225090427664,-171.445000015611
-14.0450090427375,-171.458000016091
-14.0492090427435,-171.452000015885
-14.0521090427406,-171.453000015923
-14.0421090426673,-171.508000017838
-14.0421090426094,-171.545000019131
-14.046209042591,-171.555000019486
-14.043809042531,-171.591000020741
-14.0438090425008,-171.608000021334
-14.0496090424996,-171.607000021308
-14.0404090424677,-171.627000021992
-14.0430090424608,-171.630000022101
-14.0371090424526,-171.636000022301
-14.0438090423813,-171.671000023531
-14.0396090423266,-171.6990000245
-14.029609042296,-171.716000025074
-14.041309042225,-171.746000026137
-14.044609042174,-171.768000026908
-14.041309042162,-171.77400002711
-14.0438090421446,-171.781000027358
-14.0392090421213,-171.792000027731
-14.0309090421373,-171.787000027542
-14.0267090421184,-171.796000027846
-14.0159090421098,-171.802000028033
-14.0121090421141,-171.801000027991
-14.00790904209,-171.812000028364
-14.0088090420775,-171.817000028539
-14.0063090420763,-171.818000028569
-14.0079090420389,-171.833000029091
-14.0025090420342,-171.836000029184
-14.0000090420256,-171.840000029317
-14.0000090420256,-171.840000029317
-14.0000090420107,-171.846000029524
-14.0054090420028,-171.848000029604
-14.0000090419855,-171.85600002987
-13.9896090419909,-171.856000029848
-13.9863090420052,-171.851000029669
-13.9854090419752,-171.863000030081
-13.9862090419491,-171.873000030428
-13.9813090419387,-171.87800003059
-13.9987090418505,-171.908000031661
-14.0000090418174,-171.920000032078
-14.0000090418174,-171.920000032078
-14.0000090417955,-171.928000032353
-14.0000090417955,-171.928000032353
-13.9742090416883,-171.971000033774
-13.95090904166,-171.9850000342
-13.9442090416635,-171.985000034184
-13.9338090416455,-171.993000034433
-13.9350090416302,-171.998000034607
-13.9455090416189,-172.000000034701
-13.9455090416189,-172.000000034701
-13.949709041587,-172.010000035053
-13.945909041571,-172.016000035249
-13.9409090415796,-172.014000035169
-13.9351090415707,-172.018000035291
-13.9339090415411,-172.02800003563
-13.9251090415244,-172.035000035848
-13.9155090415446,-172.030000035653
-13.9097090415018,-172.045000036151
-13.9114090414792,-172.052000036394
-13.9055090414543,-172.061000036685
-13.903009041402,-172.078000037258
-13.8955090413643,-172.091000037681
-13.8917090413599,-172.093000037739
-13.8826090413711,-172.091000037647
-13.8767090413613,-172.095000037768
-13.8667090413633,-172.096000037775
-13.8496090414299,-172.078000037121
-13.8464090414569,-172.070000036841
-13.8313090414961,-172.060000036464
-13.8263090415267,-172.051000036147
-13.8238090415619,-172.040000035768
-13.8297090416014,-172.026000035307
-13.8263090416363,-172.015000034926
-13.8133090422115,-171.803000027679
-13.8121090422169,-171.801000027608
-13.670109041164,-172.18600004027
-13.678809041135,-172.193000040528
-13.6822090410946,-172.204000040904
-13.6876090410705,-172.21000004112
-13.7009090410457,-172.215000041325
-13.7068090410391,-172.216000041375
-13.7042090410261,-172.220000041501
-13.7126090410181,-172.221000041559
-13.7151090410383,-172.215000041366
-13.7234090410339,-172.21500004139
-13.7384090409396,-172.239000042235
-13.7459090409393,-172.238000042224
-13.7534090409171,-172.243000042413
-13.7650090409438,-172.234000042146
-13.7768090409484,-172.23100004208
-13.7843090409336,-172.234000042202
-13.7926090409329,-172.233000042193
-13.8047090408755,-172.247000042698
-13.8047090408202,-172.262000043202
-13.7972090407832,-172.273000043548
-13.7971090407193,-172.290000044117
-13.7601090406818,-172.305000044505
-13.7555090405915,-172.329000045292
-13.7617090405452,-172.340000045678
-13.7701090405368,-172.341000045738
-13.7755090405102,-172.347000045955
-13.7747090404271,-172.368000046652
-13.7680090404226,-172.370000046697
-13.7688090403657,-172.384000047166
-13.7730090403268,-172.393000047479
-13.7713090402868,-172.403000047806
-13.776309040247,-172.412000048122
-13.7763090401804,-172.428000048654
-13.7729090401655,-172.432000048776
-13.7796090401029,-172.446000049263
-13.7804090400258,-172.464000049864
-13.7854090399844,-172.47300005018
-13.7813090398998,-172.493000050829
-13.7921090398281,-172.508000051364
-13.79460903972,-172.532000052168
-13.8013090396669,-172.543000052557
-13.8029090396026,-172.557000053026
-13.7934090395438,-172.571000053454
-13.7813090395319,-172.575000053542
-13.7700090394454,-172.59500005416
-13.752509039427,-172.601000054292
-13.7442090393752,-172.613000054656
-13.7242090393907,-172.612000054547
-13.7146090393203,-172.628000055036
-13.6933090392267,-172.650000055675
-13.6875090392251,-172.651000055686
-13.6775090391677,-172.664000056072
-13.6642090391652,-172.666000056085
-13.661209039123,-172.675000056367
-13.6554090391116,-172.678000056442
-13.6471090390375,-172.694000056931
-13.6379090390228,-172.698000057025
-13.6359090389892,-172.705000057245
-13.6300090390023,-172.703000057156
-13.6230090389813,-172.708000057291
-13.623809038941,-172.716000057554
-13.6188090388987,-172.725000057826
-13.610509038863,-172.733000058052
-13.6005090387823,-172.750000058562
-13.5892090387579,-172.75600005871
-13.5829090387255,-172.763000058911
-13.5688090385835,-172.792000059789
-13.5496090385103,-172.808000060224
-13.549209038479,-172.814000060415
-13.5333090384667,-172.818000060477
-13.5192090383843,-172.835000060963
-13.5192090383843,-172.835000060963
-13.5109090384525,-172.823000060543
-13.4954090385137,-172.813000060156
-13.4946090385823,-172.800000059736
