lat,lon
-14.1708090402385,-169.638079952277
-14.1702190402467,-169.640039952346
-14.1719290402709,-169.646339952556
-14.1745490402864,-169.650569952693
-14.182509040319,-169.659889952987
-14.1854290403495,-169.668039953257
-14.1855490403589,-169.67045995334
-14.1846590403682,-169.67271995342
-14.182659040378,-169.674949953503
-14.1791190403892,-169.677319953595
-14.1765390403923,-169.677749953618
-14.1751490403912,-169.677269953606
-14.1667290404117,-169.681369953773
-14.1638190404096,-169.68042995375
-14.1630290404125,-169.681059953774
-14.1636390404164,-169.68215995381
-14.1605590404151,-169.681389953793
-14.1590090404107,-169.680039953751
-14.1600390404063,-169.679059953714
-14.1608490403724,-169.670479953418
-14.1620890403633,-169.668349953341
-14.1628290403641,-169.668649953349
-14.1677390404171,-169.682899953822
-14.1701590404222,-169.684549953871
-14.1696190404281,-169.686009953923
-14.1694490404255,-169.685299953899
-14.1674990404261,-169.685199953902
-14.1658490404303,-169.686039953936
-14.1647990404371,-169.687649953994
-14.1643590404331,-169.686559953958
-14.1655090404232,-169.684159953872
-14.1677390404171,-169.682899953822
-14.1628290403641,-169.668649953349
-14.1634990403605,-169.667819953319
-14.1667490403039,-169.653929952833
-14.1678390402686,-169.64519995253
-14.1664190402449,-169.639089952326
-14.166629040231,-169.635639952207
-14.1674590402212,-169.633319952125
-14.1684690402175,-169.632529952095
-14.1708090402385,-169.638079952277
-14.168879040215,-169.631969952074
-14.167419040203,-169.628809951971
-14.1671890401911,-169.62582995187
-14.1655590401852,-169.624159951818
-14.1644090401712,-169.620549951698
-14.1566790401567,-169.615949951566
-14.1553390401444,-169.612749951461
-14.1577290401299,-169.609529951343
-14.1638590401298,-169.610329951351
-14.1660690401257,-169.609609951319
-14.1702190401264,-169.61032995133
-14.179879040105,-169.606389951163
-14.1849390401159,-169.609719951261
-14.1908990401228,-169.612209951326
-14.1912090401257,-169.612959951351
-14.1927490401209,-169.611979951312
-14.1927490401209,-169.611979951312
-14.1934590401236,-169.612749951336
-14.1900890401349,-169.615069951427
-14.1845690401521,-169.618549951564
-14.1821490401653,-169.621469951672
-14.1797390401714,-169.62265995172
-14.1775690401821,-169.624999951808
-14.1739190401898,-169.626399951867
-14.168879040215,-169.631969952074
