lat,lon
-14.2116071193092,-169.427907244968
-14.2116490393091,-169.427889944967
-14.2116381793088,-169.427830244965
-14.2124490392991,-169.425819944894
-14.2158690392838,-169.422929944783
-14.2189890392618,-169.418549944622
-14.2193690392639,-169.419049944638
-14.2223990392602,-169.418619944612
-14.2225005192603,-169.418648844613
-14.2224590392605,-169.418679944614
-14.2224790392611,-169.418819944619
-14.2225280192603,-169.418656644613
-14.2264390392633,-169.419769944636
-14.2289590392593,-169.419199944608
-14.2363990392644,-169.421199944648
-14.2442590392584,-169.420849944607
-14.2560190392633,-169.423319944648
-14.2573690392737,-169.425729944725
-14.257119039289,-169.428999944837
-14.2557290393039,-169.432069944947
-14.2557790393153,-169.434559945032
-14.2550590393227,-169.436059945085
-14.255459039331,-169.437929945148
-14.253109039343,-169.440259945236
-14.2522690393555,-169.442889945328
-14.2492290393768,-169.447169945486
-14.248369039391,-169.450179945591
-14.2481090394046,-169.453149945694
-14.2492590394092,-169.454289945728
-14.2481390394141,-169.455229945764
-14.2483290394268,-169.45805994586
-14.2488990394283,-169.458449945871
-14.2486490394381,-169.460589945945
-14.2494790394492,-169.46315994603
-14.2518190394569,-169.465139946089
-14.2522590394711,-169.468349946197
-14.2526305394717,-169.468519146202
-14.2526690394718,-169.468549946203
-14.2526800494717,-169.468541646202
-14.2532690394726,-169.468809946209
-14.2538329894796,-169.470420146262
-14.2536990394798,-169.470449946264
-14.25382903948,-169.470529946266
-14.2538520694798,-169.470474646264
-14.254029039482,-169.470979946281
-14.2640790395099,-169.4784499465
-14.2658990395197,-169.480859946576
-14.2675990395183,-169.480759946566
-14.2679990395281,-169.482999946641
-14.2697690395295,-169.483529946653
-14.2704790395268,-169.483029946634
-14.2721790395325,-169.484509946678
-14.2716690395423,-169.486649946753
-14.2728790395471,-169.487879946791
-14.2719190395524,-169.488939946831
-14.2712190395664,-169.492009946938
-14.265235389591,-169.496812047124
-14.2651990395909,-169.496799947123
-14.265218369591,-169.496825747124
-14.2641290395955,-169.497699947158
-14.2584290396061,-169.499379947236
-14.2551390396081,-169.499419947249
-14.2491890396265,-169.502839947387
-14.2449790396344,-169.504129947445
-14.2439890396458,-169.506579947533
-14.2423490396521,-169.507819947581
-14.2402790396689,-169.51138994771
-14.2404590396655,-169.510639947684
-14.2396290396638,-169.51014994767
-14.2377490396777,-169.513069947776
-14.2315590396942,-169.516079947901
-14.2246390397012,-169.51680994795
-14.2236990397067,-169.517939947992
-14.2213690397107,-169.518579948022
-14.2199990397083,-169.517839948001
-14.2203490397032,-169.516709947962
-14.218739039698,-169.51532994792
-14.2195390396987,-169.515579947926
-14.2197690396948,-169.514729947896
-14.2196790396986,-169.515579947925
-14.2204290396993,-169.515829947931
-14.2210090396941,-169.514729947892
-14.2198690396923,-169.514159947876
-14.2208690396923,-169.514279947877
-14.2200090396803,-169.511429947783
-14.2185490396767,-169.510429947754
-14.2173690396781,-169.510599947763
-14.2172390396738,-169.50960994773
-14.216349039677,-169.510229947754
-14.2158190396757,-169.509859947744
-14.2160190396671,-169.507939947677
-14.2147090396637,-169.50699994765
-14.2129990396678,-169.50770994768
-14.2125390396647,-169.506949947656
-14.2130990396587,-169.50565994761
-14.214989039651,-169.504139947551
-14.2158590396509,-169.504219947551
-14.2156790396469,-169.50328994752
-14.2174190396398,-169.501899947466
-14.2179590396297,-169.499669947388
-14.2169490396116,-169.495449947248
-14.2171090396002,-169.492899947161
-14.2152490395845,-169.489129947039
-14.2148290395829,-169.488719947026
-14.2156490395795,-169.488049947
-14.216499039563,-169.484449946875
-14.2153290395483,-169.480999946761
-14.2158590395214,-169.475059946557
-14.215159039507,-169.471769946447
-14.2160590394874,-169.467509946299
-14.2136590394722,-169.463849946183
-14.2120390394332,-169.455049945889
-14.2138090393913,-169.446049945577
-14.2141090393667,-169.440699945394
-14.2125790393164,-169.429589945021
-14.2114890393106,-169.428199944978
-14.2116071193092,-169.427907244968
-14.2116381793088,-169.427830244965
-14.2116071193092,-169.427907244968
-14.2114790393095,-169.42795994497
-14.2116290393086,-169.427779944963
-14.2116381793088,-169.427830244965
