lat,lon
-14.2824190426213,-170.545929983787
-14.28426904262,-170.545679983776
-14.284109042621,-170.5463499838
-14.284829042621,-170.546599983808
-14.2856690426195,-170.545859983781
-14.2886190426219,-170.548759983881
-14.2890990426256,-170.551729983986
-14.2874390426303,-170.554569984089
-14.2887490426331,-170.557199984182
-14.2856990426406,-170.561719984346
-14.2830790426415,-170.561369984336
-14.2834290426406,-170.560819984316
-14.2824590426418,-170.561349984336
-14.2824790426409,-170.560719984314
-14.2803090426405,-170.559539984274
-14.2789590426382,-170.557229984193
-14.2782690426335,-170.55346998406
-14.2784890426318,-170.552219984015
-14.2799390426291,-170.550779983962
-14.2799990426258,-170.548319983875
-14.2824190426213,-170.545929983787
-14.254799042717,-170.610849986125
-14.2547690427172,-170.611009986131
-14.2548390427172,-170.61098998613
-14.254799042717,-170.610849986125
-14.254849042717,-170.610869986126
-14.254818332717,-170.610808586124
-14.2558490427154,-170.609909986091
-14.2546990427145,-170.608639986047
-14.2555790427141,-170.608729986049
-14.2559490427123,-170.607259985997
-14.2585990427099,-170.606419985964
-14.2584990427082,-170.604949985912
-14.2573990427091,-170.605249985924
-14.254589042709,-170.603869985877
-14.2539190427097,-170.604239985891
-14.2549990427081,-170.603299985857
-14.2546990427064,-170.601759985802
-14.2561690427039,-170.600299985749
-14.256239042702,-170.598719985693
-14.2549090427017,-170.597929985666
-14.2560990427012,-170.597999985667
-14.2575590426973,-170.595389985573
-14.2570790426969,-170.594799985552
-14.2580290426958,-170.594309985534
-14.2583190426944,-170.593259985496
-14.2574590426926,-170.591469985433
-14.2616190426901,-170.591159985418
-14.2620590426875,-170.589199985348
-14.2615590426846,-170.586639985258
-14.2602490426834,-170.585099985204
-14.2573190426863,-170.586229985247
-14.254299042688,-170.586379985256
-14.252959042687,-170.585019985209
-14.2510790426875,-170.584659985198
-14.2518090426844,-170.582459985119
-14.2513590426828,-170.580919985064
-14.2496790426826,-170.580079985036
-14.2480590426806,-170.57788998496
-14.2462890426814,-170.577719984956
-14.2466690426803,-170.577049984932
-14.2461090426799,-170.576499984913
-14.2475590426778,-170.575409984872
-14.2485690426717,-170.571029984716
-14.2481190426671,-170.567229984581
-14.247389042667,-170.566919984571
-14.2453790426629,-170.562909984431
-14.2458590426607,-170.561419984377
-14.2459790426618,-170.562309984409
-14.2484290426634,-170.564549984486
-14.249259042662,-170.563799984458
-14.2514090426621,-170.564709984488
-14.2547090426598,-170.564229984468
-14.2581790426548,-170.561809984378
-14.2683190426537,-170.564949984479
-14.2702090426523,-170.564609984465
-14.2704683426533,-170.565498684496
-14.2704290426533,-170.565479984496
-14.2704723626534,-170.565512484497
-14.2713790426569,-170.568619984606
