"lat","lon","isl"
18.7264516467992,145.669347311428,"agr"
18.7264516467992,145.669347311428,"agr"
18.7263566657991,145.669158277429,"agr"
18.7267121372992,145.669199549429,"agr"
18.7254561224984,145.668294386436,"agr"
18.7254840724983,145.668138280437,"agr"
18.7255153230983,145.667992314438,"agr"
18.7253951619982,145.667894978439,"agr"
18.7253279609982,145.667980226438,"agr"
18.7253279609982,145.667980226438,"agr"
18.7250714239983,145.668229623436,"agr"
18.7250714239983,145.668229623436,"agr"
18.725034991598,145.667647024441,"agr"
18.7249574294979,145.667637466441,"agr"
18.7249574294979,145.667637466441,"agr"
18.7249574294979,145.667637466441,"agr"
18.7250310147979,145.667542001442,"agr"
18.7251147883978,145.667348041443,"agr"
18.7252308728977,145.666984660446,"agr"
18.7252308728977,145.666984660446,"agr"
18.7251861162977,145.666934179447,"agr"
18.7252656280976,145.666764112448,"agr"
18.7281024126977,145.665382445462,"agr"
18.7269163786959,145.662504862485,"agr"
18.7325313264957,145.658858531519,"agr"
18.735052954393,145.651946658579,"agr"
18.7400432087941,145.651218221589,"agr"
18.7499606094939,145.645251978646,"agr"
18.7531437859922,145.640129532692,"agr"
18.7578522647944,145.641842315681,"agr"
18.7619456351943,145.639300183705,"agr"
18.7619456351943,145.639300183705,"agr"
18.7620541401943,145.639235759706,"agr"
18.7621429589943,145.639239283706,"agr"
18.7621429589943,145.639239283706,"agr"
18.7622034968944,145.639238797706,"agr"
18.7622030957943,145.639183720706,"agr"
18.7620009650943,145.639138735707,"agr"
18.7642868447946,145.638538125713,"agr"
18.7642868447946,145.638538125713,"agr"
18.7643436162946,145.638454846714,"agr"
18.7643945861946,145.638559848713,"agr"
18.7648777460945,145.637934797719,"agr"
18.7652565081945,145.637747284721,"agr"
18.7652565081945,145.637747284721,"agr"
18.7651974325944,145.637514348723,"agr"
18.7656759600945,145.637484152723,"agr"
18.7661287542945,145.637367573725,"agr"
18.7661287542945,145.637367573725,"agr"
18.7662072875945,145.637318000725,"agr"
18.7662082480946,145.637449758724,"agr"
18.7664212704948,145.637647577723,"agr"
18.7664470576948,145.637741488722,"agr"
18.7664470576948,145.637741488722,"agr"
18.7663657067949,145.63789649572,"agr"
18.7663986480944,145.637003991728,"agr"
18.7663298022944,145.636906662729,"agr"
18.7662730046944,145.636986177728,"agr"
18.7662730046944,145.636986177728,"agr"
18.7676443817956,145.638665529715,"agr"
18.7696866242957,145.637674054725,"agr"
18.7710823972968,145.639010649715,"agr"
18.7748647002972,145.637590599729,"agr"
18.7748647002972,145.637590599729,"agr"
18.7750226842972,145.637669837729,"agr"
18.7750968710973,145.637754826728,"agr"
18.7750086304971,145.637403002731,"agr"
18.7760608741967,145.635943676744,"agr"
18.7766608433968,145.635944796745,"agr"
18.7766608433968,145.635944796745,"agr"
18.7768002409967,145.635689434747,"agr"
18.7770180504968,145.635670732747,"agr"
18.7788086312976,145.636298064743,"agr"
18.7796496907987,145.638034499729,"agr"
18.7835136629996,145.637550737736,"agr"
18.7835136629996,145.637550737736,"agr"
18.7836183773996,145.637520233737,"agr"
18.7836091619995,145.637363520738,"agr"
18.7838853186997,145.637601356736,"agr"
18.786062475701,145.638941349727,"agr"
18.7861231359011,145.638957812727,"agr"
18.7861231359011,145.638957812727,"agr"
18.786142388601,145.638830530728,"agr"
18.7879169704021,145.63993348272,"agr"
18.7888963438029,145.640968587712,"agr"
18.7867580626023,145.641083635709,"agr"
18.7918868189035,145.640428748719,"agr"
18.7928108579045,145.641991466706,"agr"
18.7947271495047,145.641185375714,"agr"
18.7963474851058,145.642426943705,"agr"
18.796346160306,145.642799881702,"agr"
18.796346160306,145.642799881702,"agr"
18.7965767870061,145.642878552702,"agr"
18.800336009809,145.646442177674,"agr"
18.8007917493091,145.646396154675,"agr"
18.8000807588091,145.646863773671,"agr"
18.8000807588091,145.646863773671,"agr"
18.8010026035102,145.648560576657,"agr"
18.806314690212,145.649148065656,"agr"
18.8082345665135,145.650901091643,"agr"
18.8083591559135,145.650828048644,"agr"
18.8083591559135,145.650828048644,"agr"
18.8084552799135,145.650725567645,"agr"
18.8092004096138,145.650977746643,"agr"
18.8099922779142,145.65138189564,"agr"
18.8094486710147,145.65257995463,"agr"
18.8089423230145,145.65248231363,"agr"
18.8112770314157,145.653495530623,"agr"
18.8129597295179,145.656907162596,"agr"
18.8130650581179,145.656961422596,"agr"
18.8128556222179,145.657022420595,"agr"
18.8128556222179,145.657022420595,"agr"
18.8131418674184,145.657732258589,"agr"
18.8128744594192,145.659641514573,"agr"
18.8127580907193,145.659735679572,"agr"
18.8126890246192,145.659672651573,"agr"
18.8126890246192,145.659672651573,"agr"
18.8134829524199,145.660632688565,"agr"
18.8134829524199,145.660632688565,"agr"
18.8136763992199,145.660593011566,"agr"
18.8136757904199,145.660508251566,"agr"
18.8131443468202,145.661321035559,"agr"
18.8131443468202,145.661321035559,"agr"
18.8116315846208,145.663409470541,"agr"
18.8121876013217,145.664928684528,"agr"
18.8114146025217,145.665438261523,"agr"
18.8112642152216,145.665291109525,"agr"
18.8112642152216,145.665291109525,"agr"
18.8112794488216,145.665163843526,"agr"
18.809841539021,145.664826694527,"agr"
18.8083856373213,145.666340693514,"agr"
18.8073512623274,145.678975157407,"agr"
18.8054344823269,145.679231121404,"agr"
18.8041444948278,145.681658711383,"agr"
18.8008024648273,145.682712734372,"agr"
18.7964547382281,145.686854665334,"agr"
18.7952698598287,145.688690085318,"agr"
18.7964857792303,145.691275066297,"agr"
18.7953927935306,145.692445254287,"agr"
