"x","y","island"
-166.11,23.631,"FFS"
-166.1,23.632,"FFS"
-166.1,23.634,"FFS"
-166.09,23.637,"FFS"
-166.09,23.641,"FFS"
-166.09,23.643,"FFS"
-166.09,23.644,"FFS"
-166.09,23.645,"FFS"
-166.09,23.648,"FFS"
-166.09,23.651,"FFS"
-166.08,23.654,"FFS"
-166.08,23.657,"FFS"
-166.08,23.659,"FFS"
-166.08,23.66,"FFS"
-166.08,23.662,"FFS"
-166.08,23.665,"FFS"
-166.08,23.666,"FFS"
-166.07,23.67,"FFS"
-166.07,23.673,"FFS"
-166.07,23.68,"FFS"
-166.06,23.685,"FFS"
-166.06,23.687,"FFS"
-166.06,23.69,"FFS"
-166.06,23.692,"FFS"
-166.06,23.695,"FFS"
-166.06,23.697,"FFS"
-166.06,23.698,"FFS"
-166.06,23.7,"FFS"
-166.06,23.701,"FFS"
-166.06,23.703,"FFS"
-166.06,23.707,"FFS"
-166.06,23.71,"FFS"
-166.06,23.711,"FFS"
-166.06,23.713,"FFS"
-166.05,23.717,"FFS"
-166.05,23.718,"FFS"
-166.05,23.719,"FFS"
-166.05,23.726,"FFS"
-166.05,23.725,"FFS"
-166.05,23.727,"FFS"
-166.05,23.728,"FFS"
-166.05,23.73,"FFS"
-166.05,23.734,"FFS"
-166.05,23.736,"FFS"
-166.05,23.737,"FFS"
-166.05,23.743,"FFS"
-166.05,23.746,"FFS"
-166.05,23.75,"FFS"
-166.05,23.751,"FFS"
-166.05,23.752,"FFS"
-166.05,23.755,"FFS"
-166.06,23.762,"FFS"
-166.05,23.761,"FFS"
-166.06,23.765,"FFS"
-166.06,23.767,"FFS"
-166.06,23.771,"FFS"
-166.06,23.775,"FFS"
-166.06,23.778,"FFS"
-166.06,23.782,"FFS"
-166.06,23.785,"FFS"
-166.07,23.788,"FFS"
-166.07,23.79,"FFS"
-166.07,23.792,"FFS"
-166.07,23.794,"FFS"
-166.07,23.795,"FFS"
-166.07,23.797,"FFS"
-166.07,23.799,"FFS"
-166.07,23.802,"FFS"
-166.08,23.805,"FFS"
-166.08,23.808,"FFS"
-166.08,23.81,"FFS"
-166.09,23.813,"FFS"
-166.09,23.815,"FFS"
-166.09,23.818,"FFS"
-166.09,23.82,"FFS"
-166.1,23.822,"FFS"
-166.1,23.824,"FFS"
-166.1,23.825,"FFS"
-166.11,23.826,"FFS"
-166.11,23.829,"FFS"
-166.11,23.831,"FFS"
-166.11,23.832,"FFS"
-166.12,23.834,"FFS"
-166.12,23.835,"FFS"
-166.12,23.837,"FFS"
-166.12,23.839,"FFS"
-166.13,23.841,"FFS"
-166.13,23.842,"FFS"
-166.14,23.844,"FFS"
-166.14,23.846,"FFS"
-166.14,23.847,"FFS"
-166.14,23.848,"FFS"
-166.15,23.85,"FFS"
-166.15,23.852,"FFS"
-166.15,23.853,"FFS"
-166.16,23.854,"FFS"
-166.16,23.856,"FFS"
-166.16,23.856,"FFS"
-166.17,23.857,"FFS"
-166.17,23.858,"FFS"
-166.17,23.859,"FFS"
-166.18,23.86,"FFS"
-166.18,23.86,"FFS"
-166.18,23.861,"FFS"
-166.19,23.861,"FFS"
-166.19,23.862,"FFS"
-166.19,23.863,"FFS"
-166.2,23.865,"FFS"
-166.2,23.865,"FFS"
-166.2,23.867,"FFS"
-166.2,23.867,"FFS"
-166.2,23.868,"FFS"
-166.2,23.869,"FFS"
-166.2,23.871,"FFS"
-166.21,23.873,"FFS"
-166.21,23.875,"FFS"
-166.21,23.876,"FFS"
-166.21,23.877,"FFS"
-166.22,23.878,"FFS"
-166.22,23.878,"FFS"
-166.22,23.879,"FFS"
-166.22,23.88,"FFS"
-166.23,23.881,"FFS"
-166.23,23.882,"FFS"
-166.23,23.883,"FFS"
-166.23,23.882,"FFS"
-166.23,23.881,"FFS"
-166.24,23.882,"FFS"
-166.23,23.883,"FFS"
-166.24,23.883,"FFS"
-166.24,23.883,"FFS"
-166.24,23.883,"FFS"
-166.25,23.883,"FFS"
-166.25,23.883,"FFS"
-166.25,23.882,"FFS"
-166.26,23.882,"FFS"
-166.26,23.883,"FFS"
-166.26,23.882,"FFS"
-166.26,23.882,"FFS"
-166.27,23.882,"FFS"
-166.27,23.881,"FFS"
-166.28,23.881,"FFS"
-166.28,23.88,"FFS"
-166.28,23.88,"FFS"
-166.28,23.878,"FFS"
-166.29,23.877,"FFS"
-166.29,23.878,"FFS"
-166.29,23.877,"FFS"
-166.3,23.877,"FFS"
-166.3,23.876,"FFS"
-166.3,23.875,"FFS"
-166.3,23.875,"FFS"
-166.3,23.875,"FFS"
-166.3,23.874,"FFS"
-166.31,23.874,"FFS"
-166.31,23.874,"FFS"
-166.31,23.873,"FFS"
-166.32,23.872,"FFS"
-166.31,23.871,"FFS"
-166.31,23.871,"FFS"
-166.31,23.87,"FFS"
-166.31,23.869,"FFS"
-166.31,23.868,"FFS"
-166.31,23.867,"FFS"
-166.32,23.865,"FFS"
-166.32,23.864,"FFS"
-166.32,23.864,"FFS"
-166.32,23.863,"FFS"
-166.32,23.862,"FFS"
-166.32,23.865,"FFS"
-166.32,23.863,"FFS"
-166.33,23.862,"FFS"
-166.33,23.862,"FFS"
-166.33,23.861,"FFS"
-166.33,23.859,"FFS"
-166.33,23.857,"FFS"
-166.33,23.855,"FFS"
-166.33,23.854,"FFS"
-166.33,23.854,"FFS"
-166.34,23.852,"FFS"
-166.34,23.851,"FFS"
-166.33,23.85,"FFS"
-166.33,23.848,"FFS"
-166.33,23.846,"FFS"
-166.33,23.845,"FFS"
-166.33,23.843,"FFS"
-166.33,23.841,"FFS"
-166.33,23.842,"FFS"
-166.32,23.841,"FFS"
-166.32,23.839,"FFS"
-166.32,23.84,"FFS"
-166.32,23.841,"FFS"
-166.32,23.841,"FFS"
-166.32,23.841,"FFS"
-166.32,23.84,"FFS"
-166.31,23.841,"FFS"
-166.31,23.839,"FFS"
-166.31,23.837,"FFS"
-166.31,23.839,"FFS"
-166.31,23.838,"FFS"
-166.3,23.836,"FFS"
-166.3,23.836,"FFS"
-166.3,23.835,"FFS"
-166.3,23.833,"FFS"
-166.3,23.831,"FFS"
-166.29,23.83,"FFS"
-166.29,23.831,"FFS"
-166.29,23.831,"FFS"
-166.28,23.831,"FFS"
-166.28,23.831,"FFS"
-166.28,23.832,"FFS"
-166.27,23.832,"FFS"
-166.27,23.83,"FFS"
-166.27,23.827,"FFS"
-166.26,23.824,"FFS"
-166.26,23.821,"FFS"
-166.26,23.819,"FFS"
-166.26,23.817,"FFS"
-166.26,23.815,"FFS"
-166.25,23.814,"FFS"
-166.25,23.814,"FFS"
-166.25,23.811,"FFS"
-166.25,23.812,"FFS"
-166.25,23.81,"FFS"
-166.25,23.808,"FFS"
-166.24,23.807,"FFS"
-166.24,23.806,"FFS"
-166.24,23.803,"FFS"
-166.24,23.8,"FFS"
-166.24,23.798,"FFS"
-166.24,23.797,"FFS"
-166.24,23.795,"FFS"
-166.23,23.792,"FFS"
-166.23,23.791,"FFS"
-166.23,23.788,"FFS"
-166.23,23.786,"FFS"
-166.23,23.788,"FFS"
-166.22,23.788,"FFS"
-166.22,23.787,"FFS"
-166.22,23.788,"FFS"
-166.22,23.786,"FFS"
-166.21,23.785,"FFS"
-166.21,23.783,"FFS"
-166.21,23.78,"FFS"
-166.21,23.777,"FFS"
-166.21,23.776,"FFS"
-166.21,23.774,"FFS"
-166.21,23.771,"FFS"
-166.21,23.768,"FFS"
-166.21,23.765,"FFS"
-166.21,23.763,"FFS"
